X,Y,Z
0.08976530696224143,0.15329836186852927,0.02546928385655405
0.19321979890703425,0.08119994751778191,0.11065633072508936
0.8873034483180307,0.7915310941398043,0.06725582105223955
0.019148535045072555,0.2024116877042186,0.20065130337096318
0.18273559711448376,0.011735250619179415,0.8021169827400981
0.25371668887527316,0.10506628494272834,0.7146280128316579
0.06937157161073661,0.009437048756782751,0.7834890163236076
0.821471067563084,0.892064806783499,0.2725064542659342
0.17719165416054802,0.27313879640876865,0.21701548647770583
0.09026612677071555,0.26730793533755337,0.29816704273267286
0.8695791638313299,0.885251068111834,0.03566215000120151
0.0031004617915468932,0.26122192669867883,0.7420453120921855
0.0322665739523787,0.12696231390613363,0.12768790042388445
0.851372064452199,0.7655611112250366,0.7872942695598134
0.19401475069544472,0.1978013357604858,0.045441009863453084
0.2013893938819057,0.2679823901607731,0.18362601297789352
0.11017237406125814,0.21290932739789825,0.13059945398446465
0.8230342954047816,0.8957472891012724,0.8929832853534804
0.7470024411089082,0.8819741002607835,0.18796829116734606
0.15158598963791947,0.031410541494190154,0.7866725803682123
0.8439326425933052,0.8535550348912934,0.23396985456458155
0.05076701486125391,0.03561630107937697,0.21160182486965126
0.8499318762779516,0.7089306992158839,0.20330044065459266
0.8533306439108809,0.8907810050595215,0.7723637649828455
0.013983835825582292,0.07639512954745807,0.715201069300877
0.19816906360590167,0.0942659428357294,0.8961531565750775
0.7696007221291333,0.8496604142730275,0.7860800949041942
0.8742284532975146,0.8484535691436406,0.23916234375922024
0.16692309921929827,0.2987564433059152,0.814525957233437
0.8316485229716785,0.8539770114635941,0.7395431577440901
0.16753858425081344,0.2707224244192429,0.8684774423039251
0.8420364497131542,0.874105415366234,0.8691669462432274
0.794186801471523,0.8157913577523931,0.07308338185075232
0.1037999180730445,0.10462539691947285,0.13376949667898944
0.1575425522407538,0.0410323900755241,0.08769659327380888
0.7005395230367443,0.869020847850079,0.09349661563928519
0.07407238296780265,0.19182575735464408,0.15988597958800788
0.17994379373736405,0.04367982980750968,0.18481846710045516
0.10650279562581737,0.2634875971233413,0.15328474410001763
0.04348354212151707,0.10731671671434785,0.0678489058941128
0.7818138238457448,0.8093015076594509,0.23407591531745597
0.15953266460258816,0.0118825154566071,0.21195094774613893
0.24667619794749643,0.19038269153006793,0.7459218225956498
0.06592581041877932,0.10661574459278578,0.8932529620738295
0.14048719406319402,0.29994312144909896,0.7791905954903996
0.714066178545008,0.7904941289969898,0.867163084246495
0.2661531622449629,0.16638462116959327,0.7668672639414248
0.05464166197910825,0.0063100705364712685,0.280787490668306
0.7085265835911704,0.8319632779424624,0.2531469789708432
0.8101875895705294,0.7182981691214136,0.02076338806347795
0.2160075151966792,0.009596736338842482,0.8573132442435496
0.7213621942515881,0.7349761471495088,0.8885827270343657
0.10737944897089814,0.23196792447748354,0.828438253668197
0.7767549965372903,0.87729210166098,0.0832398154863126
0.8520208594031476,0.8905552343074478,0.898460116022631
0.10443098250228172,0.278432443616444,0.8116408177478593
0.7007963114472091,0.8813671142761652,0.2549074581766621
0.7037024153698758,0.8197374797859602,0.8239685323345568
0.8853528197099861,0.8553862380599451,0.21398147193526929
0.8650816635911646,0.770013778792232,0.8144255012762371
0.2182670507849489,0.20438455179732856,0.7256425265789397
0.05318842768427582,0.25721375333839674,0.0014845684434029115
0.06801561645381679,0.0748445473889624,0.035619028594090225
0.2855284466537349,0.1363264067788716,0.7103491776281698
0.012960012808138055,0.10801408722252569,0.1611226313281301
0.8917281460413278,0.7166922121400586,0.8525081971619884
0.25535831861664954,0.29631806682165435,0.13454994659134
0.21113894441947434,0.03848887062326362,0.02981693548216082
0.06874756862429085,0.204933248704971,0.860188283257391
0.7335851161088962,0.7911739832833811,0.7144836995295738
0.8608217417188235,0.8562656294377173,0.7610939060877874
